"About the Extension","Over deze extensie"
"Add Fadello logo","Fadello Logo toevoegen"
"General Settings","Algemene instellingen"
"Enabled","Enabled"
"Method title","Methode titel"
"Sort Order","Volgorde"
"Calculation","Berekening"
"Extension Version","Extensie versie"
"API ID","API ID"
"API Key","API Key"
"Shipping Settings","Verzendopties"
"<p>Enter the Cut Off, Pickup and Delivery Time as supplies by Fadello.<br>Note that these settings needs to correspond with the settings in the Fadello dashboard.<br>See the tooltip for default values and representation.</p><br/>","<p>Voer de Cut Off in, de haal- en Levertijd in zoals geleverd door Fadello.<br>Let op, deze instellingen moeten overeen komen met de instellingen in het Fadello Dashboard.<br>Bekijk de tooltip voor standaard waardes en voorbeelden.</p><br/>"
"Cut Off Time","Cut Off Time"
"Data as supplied by Fadello, eg. 13:00","Data zoals aangegeven door Fadello, als. 13:00"
"Pickup Time","Afhaaltijd"
"Data as supplied by Fadello, eg. 13:00-16:00","Data zoals aangegeven door Fadello, als. 13:00-16:00"
"Delivery Time","Aflevertijd"
"Data as supplied by Fadello, eg. 18:00-22:30","Data zoals aangegeven door Fadello, als. 18:00-22:30"
"Pickup / Label Information","Afhaal / Label Information"
"<p>Enter the pickup information for the packages. This data will also be used on the shipping labels.</p><br/>","<p>Voer de pick-up informatie in voor de pakketten. Deze gegevens zullen ook gebruikt worden op de verzendlabels.</p><br/>"
"Company Name","Bedrijfsnaam"
"Street","Straat"
"Home Number","Huisnummer"
"Home Number Addition","Huisnummer toevoeging"
"Postalcode","Postcode"
"City","Stad"
"Country","Land"
"Telephone","Telefoon"
"Email","Email"
"General Settings","Algemene instellingen"
"Home Number on second street","Huisnummer op tweede adres regel"
"Set this value to yes when using the second street as House number field","Activeer deze optie wanneer het huisnummer op de tweede adresregels wordt ingevoerd."
"Enable this function to create shipments for next day. Will be available one hour after Cut Off Time.","Activeer deze optie om een verzending voor de volgende dag aan te maken. Deze optie is beschikbaar één uur na de Cut off Time."
"Enable this function to create shipments in depend of the selected shipment carrier.","Activeer deze optie om een verzending aan te maken voor de geselecteerde verzendservice."
"Fadello - Same Day Delivery","Fadello - Same Day Delivery"
"Pricing","Prijsstelling"
"<p>Set the shipping price rules by using a from and to price.<br>For eg. a €5.00 shipping price for all orders under €100.00 needs to be configured with the start price of 0.00 and the end price of 100.00.</p><br/>","<p>Stel de verzendprijs in met een van en tot prijs.<br>Als voorbeeld. Voor een verzendprijs van €5.00 voor alle bestellingen onder de €100.00 moet deze geconfigureerd worden met een start prijs van 0.00 en een eind prijs van 100.00.</p><br/>"
"Shipping Price","Verzendkosten"
"Availability","Beschikbaarheid"
"<p>Set the availability and naming of the method based on time and day.<br>For eg. offer Sameday Delivery on weekdays before 13:00 and offer Nextday Evening Delivery between 13:00 and 23:59.<br>You can use different descriptions for these timespans, like: ""Maandagavond levering 18:00-22:30"".</p><br/>","<p>Stel de beschikbaarheid en benaming van de methode in op basis van de tijd van de dag.<br>Als voorbeeld, toon de Sameday Delivery op werkdagen voor 13:00 en bied avondlevering voor de volgende dag aan tussen  13:00 and 23:59.<br>Je kunt hier verschillende tijden gebruiken, als: ""Maandagavond levering 18:00-22:30"".</p><br/>"
"Method Availability","Beschikbaarheid Methode"
"Limitations","Limieten"
"Maximum weight","Maximale gewicht"
"Fill in the Maximum weight of a shipment with the same data format as used in the Products.","Voer het maximale gewicht in van dee verzending in de zelfde notering als bij de producten."
"Show Method if Not Applicable","Toon verzendmethode indien niet beschikbaar"
"Displayed Error Message","Toon foutmelding"
"<p>Enter the API details as supplied by Fadello.<br>Note that Fadello has seperate API keys depending on live and testing environment.</p><br/>","<p>Voer de API gegevens in zoals uitgeleverd door Fadello.<br>Let op dat Fadello verschillende API keys heeft voor de test en live omgeving.</p><br/>"
"Allow Shipment after Cut Off Time","Sta verzendingen toe na de Cut Off Tijd"
"Allow Shipment for non-Fadello orders","Sta verzendingen toe voor niet-Fadello bestellingen"
"Create Shipment","Verzending aanmaken"
"Cancel this Fadello Shipment","Annuleer deze Fadello verzending"
"Open PDF","Open PDF"
"Ship This Order","Verzend deze bestelling"
"<p>This extension is developed by <a href=""http://www.magmodules.eu/"" target=""_blank"">Magmodules</a>. We are a Magento only E-commerce Agency located in the Netherlands.<br></p><p><strong>Read everything about the extension configuration in our <a href=""https://www.magmodules.eu/help/fadello"" target=""_blank"">Knowledgebase.</a></strong></p>","<p>Deze extensie is ontwikkeld door <a href=""http://www.magmodules.eu/"" target=""_blank"">Magmodules</a>. Magmodules is een Magento Bureau gevestigd in Nederland.<br></p><p><strong>Lees alles over de de configuratie van deze extensie in onze <a href=""https://www.magmodules.eu/help/fadello"" target=""_blank"">knowledgebase.</a></strong></p>"
